id,full_name,email,age,city,country,education_level,university,gpa,work_experience_years,skills,achievements,essays,languages,leadership_roles,volunteer_hours,projects,recommendation_count
373649caa1c4,Сагинтаев Алмас,алмас.сагинтаев@mail.ru,19,Усть-Каменогорск,Казахстан,master,Назарбаев Университет,3.54,1.3,"[""Entrepreneurship"", ""Video Editing"", ""Research"", ""Программирование"", ""Design Thinking"", ""UX Design"", ""Content Creation"", ""Python""]","[{""title"": ""Участник Google Summer of Code"", ""category"": ""technology"", ""year"": 2025}, {""title"": ""Участник сборной Казахстана по шахматам"", ""category"": ""sports"", ""year"": 2020}, {""title"": ""Победитель конкурса бизнес-планов"", ""category"": ""entrepreneurship"", ""year"": 2021}]","[{""prompt"": ""Расскажите о вашей мотивации поступить в inVision U и как это связано с вашими жизненными целями."", ""text"": ""Мой путь к inVision U начался с простого вопроса: как я могу сделать мир лучше? Этот вопрос направлял все мои решения — от выбора специальности в Назарбаев Университет до участия в волонтёрских проектах.\n\nРаботая над IoT-система умного дома, я столкнулся с проблемами, которые невозможно решить в одиночку. Это научило меня ценить командную работу и показало, как важно окружать себя единомышленниками.\n\nПрограмма inVision U привлекает меня своим фокусом на инновации и предпринимательство. Я вижу, как выпускники создают стартапы и запускают социальные инициативы, и хочу стать частью этого сообщества.\n\nВ Усть-Каменогорск я организовал несколько мероприятий для молодёжи, что помогло мне развить навыки Statistics и укрепило мою решимость продолжать образование на высшем уровне.\n\nЯ стремлюсь к тому, чтобы стать ведущим специалистом в области искусственного интеллекта и применять знания для развития региона. inVision U — это мост между моими мечтами и реальностью, и я готов пройти по нему."", ""language"": ""ru""}, {""prompt"": ""Опишите ситуацию, в которой вы проявили лидерские качества и чему это вас научило."", ""text"": ""Главный урок лидерства я получил, когда возглавил команду из 12 человек для организации фестиваль науки и технологий в нашем университете. На первый взгляд задача казалась простой, но реальность оказалась гораздо сложнее.\n\nПервая проблема возникла уже на этапе планирования: участники команды имели разные представления о формате мероприятия. Вместо того чтобы навязать своё видение, я организовал серию мозговых штурмов, где каждый мог высказаться.\n\nНастоящее испытание пришло за неделю до события, когда наш основной спонсор отказался от участия. Мне пришлось быстро перестроить бюджет и найти альтернативные источники финансирования. Я обзвонил более 20 компаний за два дня и нашёл троих новых партнёров.\n\nЭтот опыт научил меня нескольким важным вещам. Во-первых, настоящий лидер слушает свою команду. Во-вторых, гибкость и готовность к изменениям — это не слабость, а сила. В-третьих, кризис — это возможность проявить свои лучшие качества.\n\nСегодня я применяю эти уроки в каждом проекте. Руководя командой по разработке Платформа для онлайн-обучения школьников, я стараюсь создавать атмосферу доверия и открытости, где каждый чувствует свою значимость."", ""language"": ""ru""}, {""prompt"": ""Какую проблему в обществе вы хотели бы решить и почему?"", ""text"": ""Проблема, которая не даёт мне покоя — это неравный доступ к качественному образованию в Казахстане. Живя в Усть-Каменогорск, я вижу контраст между возможностями в крупных городах и сельской местности.\n\nПо данным исследований, более 40% школьников в сельских районах не имеют доступа к высокоскоростному интернету. Это означает, что тысячи талантливых молодых людей лишены возможностей, которые их городские сверстники воспринимают как должное.\n\nЯ уже начал{а} работать над решением этой проблемы. Вместе с командой мы создали проект Чат-бот для студенческой поддержки, который позволяет предоставлять образовательный контент в оффлайн-режиме. Мы разработали систему, которая синхронизирует материалы при наличии даже слабого интернет-соединения.\n\nОднако технологии — это только часть решения. Необходимо также обучать учителей работе с цифровыми инструментами и менять подход к образованию в целом. Именно поэтому я хочу углубить свои знания в inVision U.\n\nМоя цель — создать масштабируемую EdTech-платформу, которая сделает качественное образование доступным для каждого ребёнка в Казахстане, независимо от его географического положения. Я верю, что технологии могут стать великим уравнителем."", ""language"": ""ru""}]","[""Казахский"", ""Русский"", ""Немецкий"", ""Испанский""]","[""Организатор мероприятий""]",115,"[""Анализ данных городского транспорта"", ""Исследование рынка EdTech в Центральной Азии"", ""Чат-бот для студенческой поддержки""]",4
9333bfad5b0f,Токаева Дана,дана.токаев@mail.ru,28,Караганда,Казахстан,bachelor,Назарбаев Университет,3.28,1.3,"[""Analytics"", ""Cloud Computing"", ""Strategic Planning"", ""Machine Learning"", ""Product Management"", ""Critical Thinking""]","[{""title"": ""Наставник для школьников из регионов"", ""category"": ""volunteer"", ""year"": 2023}, {""title"": ""Победитель хакатона Astana Hub Challenge"", ""category"": ""technology"", ""year"": 2025}, {""title"": ""Стипендия ректора за академические достижения"", ""category"": ""community"", ""year"": 2021}, {""title"": ""Публикация в научном журнале по теме EdTech"", ""category"": ""academic"", ""year"": 2021}]","[{""prompt"": ""Расскажите о вашей мотивации поступить в inVision U и как это связано с вашими жизненными целями."", ""text"": ""С самого детства я мечтала создавать технологии, которые изменят жизнь людей. Родившись в Караганда, я видел, как цифровизация постепенно трансформирует нашу страну, и это вдохновило меня выбрать путь в сфере продуктового менеджмента.\n\nМой путь в Назарбаев Университет научил меня не только техническим навыкам, но и критическому мышлению. Работая над проектом VR-тур по историческим местам Казахстана, я осознала, что настоящие инновации рождаются на стыке технологий и понимания потребностей людей.\n\ninVision U для меня — это уникальная возможность объединить мою страсть к технологиям с желанием создавать значимые решения. Программа университета, основанная на принципах инновационного мышления, идеально совпадает с моими целями.\n\nЯ верю, что именно здесь я смогу развить свой потенциал и внести вклад в развитие технологической экосистемы Казахстана. Мой опыт волонтёрства и работы в команде подготовил меня к интенсивной программе inVision U.\n\nВ будущем я планирую создать технологический стартап, решающий проблемы образования в Центральной Азии. Я уверена, что знания и связи, полученные в inVision U, станут фундаментом для реализации этих амбициозных планов."", ""language"": ""ru""}, {""prompt"": ""Опишите ситуацию, в которой вы проявили лидерские качества и чему это вас научило."", ""text"": ""Лидерство для меня — это не про должности и титулы. Это про ответственность и готовность действовать, когда другие сомневаются. Я осознал{а} это, когда работал{а} координатором волонтёрской программы в Караганда.\n\nНаша задача была амбициозной: организовать серию образовательных мастер-классов для 200 школьников из отдалённых районов. Бюджет был минимальным, а сроки — жёсткими.\n\nЯ начал{а} с формирования команды. Важно было найти людей, разделяющих нашу миссию, а не просто исполнителей. Мы разработали систему наставничества, где опытные волонтёры обучали новичков.\n\nСамым сложным моментом стала логистика: как доставить материалы и обеспечить транспорт для волонтёров. Я решил{а} проблему, договорившись с местными предпринимателями о партнёрстве. Это потребовало навыков переговоров, которые я развивал{а} в дебатном клубе.\n\nВ результате мы провели 15 мастер-классов, охватив более 250 школьников. Но самым ценным результатом стала команда единомышленников, которая продолжает работать вместе и после завершения программы. Этот опыт укрепил моё понимание: лидер создаёт не последователей, а новых лидеров."", ""language"": ""ru""}, {""prompt"": ""Какую проблему в обществе вы хотели бы решить и почему?"", ""text"": ""Экологическая ситуация в Казахстане — одна из проблем, которая требует немедленного внимания. Наша страна сталкивается с серьёзными вызовами: от загрязнения воздуха в крупных городах до проблемы Аральского моря.\n\nВ Караганда я лично наблюдаю последствия экологического кризиса. Загрязнение воздуха в зимние месяцы достигает критических отметок, что влияет на здоровье миллионов людей. При этом существующие решения зачастую неэффективны.\n\nМой подход к этой проблеме основан на данных. Работая над проектом Платформа для социального предпринимательства, я использовал{а} методы разработки ПО для анализа экологических данных и выявления паттернов загрязнения. Результаты показали, что целенаправленные интервенции в ключевых точках могут значительно улучшить ситуацию.\n\nЯ убеждён{а}, что решение экологических проблем требует междисциплинарного подхода. Нужны специалисты, которые понимают и технологии, и экономику, и социальные процессы. Именно такое образование предлагает inVision U.\n\nМой план — создать систему мониторинга и прогнозирования экологической обстановки с использованием IoT-датчиков и машинного обучения. Это позволит принимать решения на основе данных, а не интуиции."", ""language"": ""ru""}]","[""Английский"", ""Русский"", ""Казахский""]","[""Руководитель проектной команды"", ""Организатор мероприятий""]",139,"[""Платформа для онлайн-обучения школьников"", ""VR-тур по историческим местам Казахстана"", ""Веб-портал для НКО Казахстана""]",1
e5120829d724,Хасенов Ерлан,ерлан.хасенов@mail.ru,25,Тараз,Казахстан,bachelor,Казахстанско-Британский технический университет,3.72,3.0,"[""Video Editing"", ""Программирование"", ""Social Media"", ""Public Speaking"", ""Graphic Design"", ""Entrepreneurship"", ""JavaScript"", ""Leadership"", ""Copywriting""]","[{""title"": ""Волонтёр в детском доме (2+ года)"", ""category"": ""volunteer"", ""year"": 2025}, {""title"": ""Победитель олимпиады по математике"", ""category"": ""science"", ""year"": 2020}, {""title"": ""Контрибьютор в open-source проект"", ""category"": ""technology"", ""year"": 2025}]","[{""prompt"": ""Расскажите о вашей мотивации поступить в inVision U и как это связано с вашими жизненными целями."", ""text"": ""С самого детства я мечтал создавать технологии, которые изменят жизнь людей. Родившись в Тараз, я видел, как цифровизация постепенно трансформирует нашу страну, и это вдохновило меня выбрать путь в сфере финтеха.\n\nМой путь в Казахстанско-Британский технический университет научил меня не только техническим навыкам, но и критическому мышлению. Работая над проектом IoT-система умного дома, я осознал, что настоящие инновации рождаются на стыке технологий и понимания потребностей людей.\n\ninVision U для меня — это уникальная возможность объединить мою страсть к технологиям с желанием создавать значимые решения. Программа университета, основанная на принципах инновационного мышления, идеально совпадает с моими целями.\n\nЯ верю, что именно здесь я смогу развить свой потенциал и внести вклад в развитие технологической экосистемы Казахстана. Мой опыт волонтёрства и работы в команде подготовил меня к интенсивной программе inVision U.\n\nВ будущем я планирую основать социальное предприятие, помогающее людям с ограниченными возможностями. Я уверен, что знания и связи, полученные в inVision U, станут фундаментом для реализации этих амбициозных планов."", ""language"": ""ru""}, {""prompt"": ""Опишите ситуацию, в которой вы проявили лидерские качества и чему это вас научило."", ""text"": ""Главный урок лидерства я получил, когда возглавил команду из 12 человек для организации благотворительный марафон в нашем университете. На первый взгляд задача казалась простой, но реальность оказалась гораздо сложнее.\n\nПервая проблема возникла уже на этапе планирования: участники команды имели разные представления о формате мероприятия. Вместо того чтобы навязать своё видение, я организовал серию мозговых штурмов, где каждый мог высказаться.\n\nНастоящее испытание пришло за неделю до события, когда наш основной спонсор отказался от участия. Мне пришлось быстро перестроить бюджет и найти альтернативные источники финансирования. Я обзвонил более 20 компаний за два дня и нашёл троих новых партнёров.\n\nЭтот опыт научил меня нескольким важным вещам. Во-первых, настоящий лидер слушает свою команду. Во-вторых, гибкость и готовность к изменениям — это не слабость, а сила. В-третьих, кризис — это возможность проявить свои лучшие качества.\n\nСегодня я применяю эти уроки в каждом проекте. Руководя командой по разработке Мобильное приложение для мониторинга экологии, я стараюсь создавать атмосферу доверия и открытости, где каждый чувствует свою значимость."", ""language"": ""ru""}, {""prompt"": ""Какую проблему в обществе вы хотели бы решить и почему?"", ""text"": ""Экологическая ситуация в Казахстане — одна из проблем, которая требует немедленного внимания. Наша страна сталкивается с серьёзными вызовами: от загрязнения воздуха в крупных городах до проблемы Аральского моря.\n\nВ Тараз я лично наблюдаю последствия экологического кризиса. Загрязнение воздуха в зимние месяцы достигает критических отметок, что влияет на здоровье миллионов людей. При этом существующие решения зачастую неэффективны.\n\nМой подход к этой проблеме основан на данных. Работая над проектом Веб-портал для НКО Казахстана, я использовал{а} методы цифрового маркетинга для анализа экологических данных и выявления паттернов загрязнения. Результаты показали, что целенаправленные интервенции в ключевых точках могут значительно улучшить ситуацию.\n\nЯ убеждён{а}, что решение экологических проблем требует междисциплинарного подхода. Нужны специалисты, которые понимают и технологии, и экономику, и социальные процессы. Именно такое образование предлагает inVision U.\n\nМой план — создать систему мониторинга и прогнозирования экологической обстановки с использованием IoT-датчиков и машинного обучения. Это позволит принимать решения на основе данных, а не интуиции."", ""language"": ""ru""}]","[""Казахский"", ""Русский""]","[""Лидер дебатного клуба"", ""Председатель научного общества""]",125,"[""Анализ данных городского транспорта"", ""Чат-бот для студенческой поддержки""]",2
ec06419a2fcd,Кенжебаева Салтанат,салтанат.кенжебаев@gmail.com,28,Павлодар,Казахстан,master,Astana IT University,3.0,2.1,"[""SQL"", ""Marketing"", ""Copywriting""]","[{""title"": ""Государственная стипендия «Болашак»"", ""category"": ""community"", ""year"": 2021}]","[{""prompt"": ""Расскажите о вашей мотивации поступить в inVision U и как это связано с вашими жизненными целями."", ""text"": ""Когда я впервые узнала об inVision U, я поняла: это именно тот университет, который формирует лидеров нового поколения. Мой опыт в информационных технологий и стремление к постоянному развитию привели меня к этой заявке.\n\nЗа время учёбы в Astana IT University я участвовала в нескольких проектах, которые укрепили мою уверенность в выбранном пути. Особенно значимым стал проект Анализ данных городского транспорта, где я научилася работать в условиях неопределённости и принимать решения под давлением.\n\nМотивация поступить в inVision U связана с моим глубоким убеждением, что образование должно быть практико-ориентированным. Я хочу не просто изучать теории, а создавать реальные продукты, которые решают реальные проблемы.\n\nПавлодар — мой родной город, и я вижу огромный потенциал для развития технологических решений в нашем регионе. С дипломом inVision U я смогу вернуться и внести значимый вклад в его развитие.\n\nМой план — запустить программу менторства для студентов из малых городов, и я готова работать усердно, чтобы достичь этой цели."", ""language"": ""ru""}, {""prompt"": ""Опишите ситуацию, в которой вы проявили лидерские качества и чему это вас научило."", ""text"": ""Главный урок лидерства я получила, когда возглавила команду из 12 человек для организации студенческий TEDx в нашем университете. На первый взгляд задача казалась простой, но реальность оказалась гораздо сложнее.\n\nПервая проблема возникла уже на этапе планирования: участники команды имели разные представления о формате мероприятия. Вместо того чтобы навязать своё видение, я организовала серию мозговых штурмов, где каждый мог высказаться.\n\nНастоящее испытание пришло за неделю до события, когда наш основной спонсор отказался от участия. Мне пришлось быстро перестроить бюджет и найти альтернативные источники финансирования. Я обзвонила более 20 компаний за два дня и нашёлла троих новых партнёров.\n\nЭтот опыт научил меня нескольким важным вещам. Во-первых, настоящий лидер слушает свою команду. Во-вторых, гибкость и готовность к изменениям — это не слабость, а сила. В-третьих, кризис — это возможность проявить свои лучшие качества.\n\nСегодня я применяю эти уроки в каждом проекте. Руководя командой по разработке Платформа для социального предпринимательства, я стараюсь создавать атмосферу доверия и открытости, где каждый чувствует свою значимость."", ""language"": ""ru""}, {""prompt"": ""Какую проблему в обществе вы хотели бы решить и почему?"", ""text"": ""Экологическая ситуация в Казахстане — одна из проблем, которая требует немедленного внимания. Наша страна сталкивается с серьёзными вызовами: от загрязнения воздуха в крупных городах до проблемы Аральского моря.\n\nВ Павлодар я лично наблюдаю последствия экологического кризиса. Загрязнение воздуха в зимние месяцы достигает критических отметок, что влияет на здоровье миллионов людей. При этом существующие решения зачастую неэффективны.\n\nМой подход к этой проблеме основан на данных. Работая над проектом Исследование рынка EdTech в Центральной Азии, я использовал{а} методы продуктового менеджмента для анализа экологических данных и выявления паттернов загрязнения. Результаты показали, что целенаправленные интервенции в ключевых точках могут значительно улучшить ситуацию.\n\nЯ убеждён{а}, что решение экологических проблем требует междисциплинарного подхода. Нужны специалисты, которые понимают и технологии, и экономику, и социальные процессы. Именно такое образование предлагает inVision U.\n\nМой план — создать систему мониторинга и прогнозирования экологической обстановки с использованием IoT-датчиков и машинного обучения. Это позволит принимать решения на основе данных, а не интуиции."", ""language"": ""ru""}]","[""Казахский"", ""Русский""]",[],128,"[""Платформа для онлайн-обучения школьников""]",1
cc12257ec948,Нурпеисов Аскар,аскар.нурпеисов@gmail.com,26,Уральск,Казахстан,bachelor,Astana IT University,2.88,1.0,"[""Agile/Scrum"", ""Negotiation"", ""Graphic Design""]",[],"[{""prompt"": ""Расскажите о вашей мотивации поступить в inVision U и как это связано с вашими жизненными целями."", ""text"": ""Когда я впервые узнал об inVision U, я понял: это именно тот университет, который формирует лидеров нового поколения. Мой опыт в продуктового менеджмента и стремление к постоянному развитию привели меня к этой заявке.\n\nЗа время учёбы в Astana IT University я участвовал в нескольких проектах, которые укрепили мою уверенность в выбранном пути. Особенно значимым стал проект VR-тур по историческим местам Казахстана, где я научился работать в условиях неопределённости и принимать решения под давлением.\n\nМотивация поступить в inVision U связана с моим глубоким убеждением, что образование должно быть практико-ориентированным. Я хочу не просто изучать теории, а создавать реальные продукты, которые решают реальные проблемы.\n\nУральск — мой родной город, и я вижу огромный потенциал для развития технологических решений в нашем регионе. С дипломом inVision U я смогу вернуться и внести значимый вклад в его развитие.\n\nМой план — создать инновационный хаб, объединяющий технологии и креативные индустрии, и я готов работать усердно, чтобы достичь этой цели."", ""language"": ""ru""}, {""prompt"": ""Опишите ситуацию, в которой вы проявили лидерские качества и чему это вас научило."", ""text"": ""Лидерство для меня — это не про должности и титулы. Это про ответственность и готовность действовать, когда другие сомневаются. Я осознал{а} это, когда работал{а} координатором волонтёрской программы в Уральск.\n\nНаша задача была амбициозной: организовать серию образовательных мастер-классов для 200 школьников из отдалённых районов. Бюджет был минимальным, а сроки — жёсткими.\n\nЯ начал{а} с формирования команды. Важно было найти людей, разделяющих нашу миссию, а не просто исполнителей. Мы разработали систему наставничества, где опытные волонтёры обучали новичков.\n\nСамым сложным моментом стала логистика: как доставить материалы и обеспечить транспорт для волонтёров. Я решил{а} проблему, договорившись с местными предпринимателями о партнёрстве. Это потребовало навыков переговоров, которые я развивал{а} в дебатном клубе.\n\nВ результате мы провели 15 мастер-классов, охватив более 250 школьников. Но самым ценным результатом стала команда единомышленников, которая продолжает работать вместе и после завершения программы. Этот опыт укрепил моё понимание: лидер создаёт не последователей, а новых лидеров."", ""language"": ""ru""}, {""prompt"": ""Какую проблему в обществе вы хотели бы решить и почему?"", ""text"": ""Проблема, которая не даёт мне покоя — это неравный доступ к качественному образованию в Казахстане. Живя в Уральск, я вижу контраст между возможностями в крупных городах и сельской местности.\n\nПо данным исследований, более 40% школьников в сельских районах не имеют доступа к высокоскоростному интернету. Это означает, что тысячи талантливых молодых людей лишены возможностей, которые их городские сверстники воспринимают как должное.\n\nЯ уже начал{а} работать над решением этой проблемы. Вместе с командой мы создали проект Платформа для социального предпринимательства, который позволяет предоставлять образовательный контент в оффлайн-режиме. Мы разработали систему, которая синхронизирует материалы при наличии даже слабого интернет-соединения.\n\nОднако технологии — это только часть решения. Необходимо также обучать учителей работе с цифровыми инструментами и менять подход к образованию в целом. Именно поэтому я хочу углубить свои знания в inVision U.\n\nМоя цель — создать масштабируемую EdTech-платформу, которая сделает качественное образование доступным для каждого ребёнка в Казахстане, независимо от его географического положения. Я верю, что технологии могут стать великим уравнителем."", ""language"": ""ru""}]","[""Казахский""]","[""Председатель научного общества""]",37,"[""Мобильное приложение для мониторинга экологии""]",0
4bd074ddce12,Хасенова Карлыгаш,карлыгаш.хасенов@gmail.com,25,Павлодар,Казахстан,master,Университет КАЗГЮУ,3.87,2.5,"[""Research"", ""Entrepreneurship"", ""Product Management"", ""Python"", ""JavaScript"", ""Analytics"", ""Statistics"", ""Communication"", ""Digital Marketing"", ""Data Science""]","[{""title"": ""Участник сборной Казахстана по шахматам"", ""category"": ""sports"", ""year"": 2020}, {""title"": ""Победитель конкурса бизнес-планов"", ""category"": ""entrepreneurship"", ""year"": 2021}, {""title"": ""Стипендия ректора за академические достижения"", ""category"": ""community"", ""year"": 2020}]","[{""prompt"": ""Расскажите о вашей мотивации поступить в inVision U и как это связано с вашими жизненными целями."", ""text"": ""С самого детства я мечтала создавать технологии, которые изменят жизнь людей. Родившись в Павлодар, я видел, как цифровизация постепенно трансформирует нашу страну, и это вдохновило меня выбрать путь в сфере продуктового менеджмента.\n\nМой путь в Университет КАЗГЮУ научил меня не только техническим навыкам, но и критическому мышлению. Работая над проектом Система автоматизации учёта для МСБ, я осознала, что настоящие инновации рождаются на стыке технологий и понимания потребностей людей.\n\ninVision U для меня — это уникальная возможность объединить мою страсть к технологиям с желанием создавать значимые решения. Программа университета, основанная на принципах инновационного мышления, идеально совпадает с моими целями.\n\nЯ верю, что именно здесь я смогу развить свой потенциал и внести вклад в развитие технологической экосистемы Казахстана. Мой опыт волонтёрства и работы в команде подготовил меня к интенсивной программе inVision U.\n\nВ будущем я планирую разработать решения в сфере GreenTech для устойчивого развития Казахстана. Я уверена, что знания и связи, полученные в inVision U, станут фундаментом для реализации этих амбициозных планов."", ""language"": ""ru""}, {""prompt"": ""Опишите ситуацию, в которой вы проявили лидерские качества и чему это вас научило."", ""text"": ""Главный урок лидерства я получила, когда возглавила команду из 12 человек для организации благотворительный марафон в нашем университете. На первый взгляд задача казалась простой, но реальность оказалась гораздо сложнее.\n\nПервая проблема возникла уже на этапе планирования: участники команды имели разные представления о формате мероприятия. Вместо того чтобы навязать своё видение, я организовала серию мозговых штурмов, где каждый мог высказаться.\n\nНастоящее испытание пришло за неделю до события, когда наш основной спонсор отказался от участия. Мне пришлось быстро перестроить бюджет и найти альтернативные источники финансирования. Я обзвонила более 20 компаний за два дня и нашёлла троих новых партнёров.\n\nЭтот опыт научил меня нескольким важным вещам. Во-первых, настоящий лидер слушает свою команду. Во-вторых, гибкость и готовность к изменениям — это не слабость, а сила. В-третьих, кризис — это возможность проявить свои лучшие качества.\n\nСегодня я применяю эти уроки в каждом проекте. Руководя командой по разработке Исследование рынка EdTech в Центральной Азии, я стараюсь создавать атмосферу доверия и открытости, где каждый чувствует свою значимость."", ""language"": ""ru""}, {""prompt"": ""Какую проблему в обществе вы хотели бы решить и почему?"", ""text"": ""Экологическая ситуация в Казахстане — одна из проблем, которая требует немедленного внимания. Наша страна сталкивается с серьёзными вызовами: от загрязнения воздуха в крупных городах до проблемы Аральского моря.\n\nВ Павлодар я лично наблюдаю последствия экологического кризиса. Загрязнение воздуха в зимние месяцы достигает критических отметок, что влияет на здоровье миллионов людей. При этом существующие решения зачастую неэффективны.\n\nМой подход к этой проблеме основан на данных. Работая над проектом Веб-портал для НКО Казахстана, я использовал{а} методы UX/UI дизайна для анализа экологических данных и выявления паттернов загрязнения. Результаты показали, что целенаправленные интервенции в ключевых точках могут значительно улучшить ситуацию.\n\nЯ убеждён{а}, что решение экологических проблем требует междисциплинарного подхода. Нужны специалисты, которые понимают и технологии, и экономику, и социальные процессы. Именно такое образование предлагает inVision U.\n\nМой план — создать систему мониторинга и прогнозирования экологической обстановки с использованием IoT-датчиков и машинного обучения. Это позволит принимать решения на основе данных, а не интуиции."", ""language"": ""ru""}]","[""Казахский"", ""Русский""]","[""Староста курса"", ""Капитан спортивной команды"", ""Лидер дебатного клуба""]",245,"[""Анализ данных городского транспорта"", ""Блокчейн-решение для цепи поставок"", ""Веб-портал для НКО Казахстана"", ""Мобильное приложение для мониторинга экологии""]",2
